,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Anadyr,90,RU,1587162143,78,64.75,177.48,12.2,13.42
1,Carnarvon,89,AU,1587162149,88,-24.87,113.63,75.2,5.82
2,Saldanha,70,ZA,1587162150,72,-33.01,17.94,59.0,9.17
3,Codrington,100,AU,1587162150,77,-38.27,141.97,54.73,9.53
4,Rikitea,1,PF,1587161996,65,-23.12,-134.97,77.18,2.51
5,Mahébourg,40,MU,1587162150,83,-20.41,57.7,75.99,9.17
6,Cape Town,96,ZA,1587161892,63,-33.93,18.42,64.0,13.87
7,Kavaratti,0,IN,1587162150,68,10.57,72.64,84.18,2.77
8,Chokurdakh,10,RU,1587162033,90,70.63,147.92,-10.97,3.76
9,Vadum,0,DK,1587162150,69,57.12,9.86,38.62,2.37
10,Ushuaia,75,AR,1587162150,32,-54.8,-68.3,53.6,9.17
11,Nizhniye Vyazovyye,100,RU,1587162151,79,55.8,48.52,36.79,10.45
12,Velikooktyabr'skiy,34,RU,1587161945,88,57.43,33.82,31.68,8.08
13,Saint George,1,US,1587162031,18,37.1,-113.58,73.4,3.36
14,Ola,100,RU,1587162151,95,59.58,151.28,17.64,12.88
15,Terrace,75,CA,1587162008,48,54.52,-128.6,60.8,10.29
16,Bonaventure,40,CA,1587162151,47,48.05,-65.49,37.4,13.87
17,East London,1,ZA,1587162152,61,-33.02,27.91,68.0,4.09
18,Pacific Grove,90,US,1587162152,67,36.62,-121.92,59.0,10.29
19,Tasiilaq,100,GL,1587162152,86,65.61,-37.64,39.2,27.51
20,Hermanus,99,ZA,1587162152,81,-34.42,19.23,57.0,3.0
21,Hilo,40,US,1587162152,54,19.73,-155.09,80.6,9.17
22,Zlobin,92,HR,1587162152,78,45.29,14.65,48.0,4.0
23,Butte,1,US,1587162152,43,39.65,-121.57,73.4,12.75
24,Norman Wells,75,CA,1587162050,64,65.28,-126.83,37.4,10.29
25,Port Alfred,11,ZA,1587162152,92,-33.59,26.89,64.0,4.0
26,Nantucket,1,US,1587162093,48,41.28,-70.1,44.6,25.28
27,Albany,100,US,1587162153,32,42.6,-73.97,46.99,5.01
28,Port Blair,50,IN,1587162153,72,11.67,92.75,82.81,2.19
29,Busselton,93,AU,1587162153,61,-33.65,115.33,54.0,7.27
30,Atuona,72,PF,1587162153,74,-9.8,-139.03,82.11,13.42
31,Airai,46,TL,1587162153,73,-8.93,125.41,61.25,2.35
32,Los Llanos de Aridane,90,ES,1587162153,72,28.66,-17.92,68.0,3.36
33,Kapaa,1,US,1587162153,65,22.08,-159.32,80.6,11.41
34,Nikolskoye,90,RU,1587162153,86,59.7,30.79,37.4,15.66
35,Mar del Plata,65,AR,1587162154,68,-38.0,-57.56,68.0,8.05
36,Souillac,40,MU,1587162154,83,-20.52,57.52,75.99,9.17
37,Ilulissat,98,GL,1587162154,74,69.22,-51.1,28.4,2.24
38,Tiksi,100,RU,1587162154,86,71.69,128.87,0.34,4.23
39,Shimoda,75,JP,1587162154,93,34.67,138.95,55.4,4.7
40,Avarua,54,CK,1587162001,65,-21.21,-159.78,82.4,4.7
41,Takaka,30,NZ,1587162154,91,-40.85,172.8,57.0,3.0
42,Upernavik,0,GL,1587162154,90,72.79,-56.15,24.67,2.24
43,Dale,90,US,1587162154,93,38.17,-86.99,51.8,6.93
44,Saskylakh,28,RU,1587162155,86,71.92,114.08,-2.7,5.26
45,Hithadhoo,69,MV,1587162155,76,-0.6,73.08,83.91,7.56
46,Vaini,20,TO,1587162155,69,-21.2,-175.2,82.4,9.17
47,Kathmandu,20,NP,1587162055,93,27.72,85.32,60.8,5.19
48,Laguna,1,US,1587162155,52,38.42,-121.42,70.0,13.87
49,Uribia,8,CO,1587162155,51,11.71,-72.27,88.02,20.29
50,Castro,0,BR,1587162155,49,-24.79,-50.01,59.67,2.33
51,São Raimundo das Mangabeiras,88,BR,1587162155,81,-7.02,-45.48,78.37,2.24
52,Xining,74,CN,1587162155,27,36.62,101.77,40.6,0.31
53,Yellowknife,75,CA,1587161943,54,62.46,-114.35,28.4,8.05
54,Manaure,3,CO,1587162156,58,11.78,-72.44,85.77,21.74
55,Mataura,96,NZ,1587162156,93,-46.19,168.86,52.0,5.99
56,Lüderitz,0,NA,1587162116,87,-26.65,15.16,55.4,3.36
57,Chui,2,UY,1587162156,77,-33.7,-53.46,64.42,6.64
58,Punta Arenas,66,CL,1587161990,71,-53.15,-70.92,50.0,4.7
59,Puerto Ayora,75,EC,1587162031,88,-0.74,-90.35,79.0,8.05
60,Alyangula,87,AU,1587162156,94,-13.85,136.42,75.2,0.4
61,Cayenne,75,GF,1587162156,100,4.93,-52.33,77.0,7.54
62,Severo-Kuril'sk,100,RU,1587162157,95,50.68,156.12,30.4,14.97
63,Yulara,53,AU,1587162157,48,-25.24,130.99,66.2,11.41
64,Am Timan,4,TD,1587162094,10,11.03,20.28,83.62,4.72
65,Nabire,99,ID,1587162157,87,-3.37,135.48,76.96,2.39
66,Coquimbo,0,CL,1587162157,87,-29.95,-71.34,59.0,11.41
67,Oud-Beijerland,4,NL,1587162157,76,51.82,4.41,52.0,10.29
68,Suoyarvi,19,RU,1587162157,96,62.08,32.35,30.13,7.58
69,Yar-Sale,100,RU,1587162157,97,66.83,70.83,36.82,22.73
70,Turukhansk,65,RU,1587162157,89,65.82,87.98,34.11,8.03
71,Sibolga,88,ID,1587162158,78,1.74,98.78,77.27,2.44
72,Lagoa Formosa,26,BR,1587162158,31,-18.78,-46.41,72.0,4.99
73,Vila Franca do Campo,20,PT,1587162036,76,37.72,-25.43,55.4,2.24
74,Provideniya,100,RU,1587162081,96,64.38,-173.3,29.07,17.16
75,Punta Cardon,0,VE,1587162158,71,11.66,-70.22,81.7,27.45
76,Grand Gaube,40,MU,1587162158,83,-20.01,57.66,75.99,9.17
77,Charters Towers,29,AU,1587162158,78,-20.1,146.27,72.9,1.63
78,Isangel,75,VU,1587162158,74,-19.55,169.27,80.6,3.36
79,Suntar,4,RU,1587162025,93,62.14,117.63,9.52,4.14
80,Kloulklubed,90,PW,1587162159,94,7.04,134.26,77.0,8.05
81,Jamestown,90,US,1587162036,100,42.1,-79.24,34.0,6.93
82,Saint-Philippe,15,RE,1587162159,78,-21.36,55.77,71.6,6.93
83,Kaitangata,100,NZ,1587162159,86,-46.28,169.85,53.01,21.99
84,Leningradskiy,95,RU,1587162027,94,69.38,178.42,12.15,6.24
85,Kahului,20,US,1587162159,48,20.89,-156.47,84.2,17.22
86,Faanui,100,PF,1587162159,70,-16.48,-151.75,82.63,6.73
87,São Filipe,27,CV,1587162160,74,14.9,-24.5,71.13,20.8
88,Sopela,98,ES,1587162160,72,43.38,-2.98,61.0,1.12
89,Necochea,43,AR,1587162160,62,-38.55,-58.74,66.0,8.99
90,Coahuayana Viejo,40,MX,1587162160,35,18.73,-103.68,87.8,17.22
91,Gallup,1,US,1587162160,12,35.53,-108.74,64.4,14.99
92,Longyearbyen,75,SJ,1587162160,96,78.22,15.64,32.0,6.93
93,Atar,96,MR,1587162160,26,20.52,-13.05,77.32,3.06
94,Apodi,27,BR,1587162161,72,-5.66,-37.8,80.37,7.11
95,Gwadar,0,PK,1587162161,68,25.12,62.33,79.65,10.25
96,Kropotkin,100,RU,1587162161,63,45.44,40.58,48.0,7.29
97,George Town,20,MY,1587162161,88,5.41,100.34,80.6,5.82
98,Shonguy,75,RU,1587162161,93,68.75,33.15,32.0,8.95
99,Chany,0,RU,1587162161,70,55.31,76.76,46.72,12.3
100,Tilichiki,1,RU,1587162161,92,60.47,166.1,10.99,9.8
101,Salalah,20,OM,1587162161,74,17.02,54.09,82.4,3.36
102,Aromashevo,100,RU,1587162162,78,56.86,68.64,46.9,6.69
103,Cap Malheureux,40,MU,1587162023,83,-19.98,57.61,75.99,9.17
104,Sabang,97,ID,1587162162,74,5.89,95.32,81.86,3.44
105,Bredasdorp,100,ZA,1587162162,87,-34.53,20.04,55.0,1.12
106,Ischia,3,IT,1587162162,75,40.73,13.95,60.01,4.59
107,Ribeira Grande,17,PT,1587162162,67,38.52,-28.7,59.56,9.06
108,Katsuura,75,JP,1587162065,87,35.13,140.3,59.0,8.05
109,Binzhou,78,CN,1587162163,73,37.37,118.02,51.01,4.47
110,Qaanaaq,0,GL,1587162163,85,77.48,-69.36,17.87,0.72
111,Grindavik,90,IS,1587162163,87,63.84,-22.43,42.8,27.51
112,Kibaya,88,TZ,1587162163,65,-5.3,36.57,60.84,5.32
113,New Norfolk,66,AU,1587162163,75,-42.78,147.06,54.0,3.0
114,Hofn,100,IS,1587162163,84,64.25,-15.21,43.99,10.22
115,Pailón,20,BO,1587162163,34,-17.65,-62.75,84.2,10.29
116,General Pico,0,AR,1587162164,39,-35.66,-63.76,76.6,12.64
117,Hailar,0,CN,1587162164,47,49.2,119.7,42.01,5.41
118,Sisimiut,80,GL,1587162164,93,66.94,-53.67,27.5,16.2
119,Naze,20,JP,1587162164,78,28.37,129.48,71.6,16.11
120,Husavik,27,IS,1587162164,70,66.04,-17.34,44.6,23.04
121,Farīdpur,75,BD,1587162164,83,23.6,89.83,77.0,4.7
122,Bluff,78,NZ,1587162164,93,-46.6,168.33,52.0,5.99
